"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT06","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-27",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-28",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-29",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-30",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-08-31",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-01",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-03","    2","0.00",,,"0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-04",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-05",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-06",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-07",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-08",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-09",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-10",,,"0.13",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-11",,,"0.01",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-12",,,"0.02",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-13",,,"0.14",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-14",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-15",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-16",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-17",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-18",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-19",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-20",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-21",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-22",,,"0.27",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-23",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-24",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-25",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-28","    3","0.01",,,"0.0",,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-29",,,"0.00",,,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2015-09-30",,,"1.72",,,,,,,,,,
